Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659254706.0255218, 0.0, 5.0, 0.1, 10, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_3 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_1 (A),IsCH_3 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A),TsCH_1 (s),TsCH_3 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s),TsCH_12 (s),TsCH_14 (s),TsCH_15 (s),TsCH_16 (s)
0.2,-0.353402,-0.00104,1.42540e+00,1.43287e+00,1.64660e+00,1.64657e+00,1.64658e+00,1.64658e+00,1.64657e+00,1.64649e+00,1.64658e+00,1.64660e+00,1.64665e+00,1.64656e+00,3.68754e-06,3.56309e-06,-3.97364e-11,4.66903e-10,3.47694e-10,2.48353e-10,4.56969e-10,1.74840e-09,3.37760e-10,-8.94070e-11,-8.94070e-10,6.05981e-10,1659254873.097692,1659254873.561328,1659254874.0241039,1659254874.4870746,1659254874.9494982,1659254875.412963,1659254875.8757718,1659254876.3387377,1659254876.8011677,1659254877.263994,1659254877.7269225,1659254878.1892467
0.2,-0.353009,-0.00104,1.42601e+00,1.43308e+00,1.64704e+00,1.64702e+00,1.64698e+00,1.64694e+00,1.64693e+00,1.64703e+00,1.64702e+00,1.64698e+00,1.64696e+00,1.64705e+00,3.68388e-06,3.56600e-06,-8.64267e-10,-4.76837e-10,1.88748e-10,9.23872e-10,1.03315e-09,-6.35783e-10,-4.56969e-10,1.68880e-10,5.36442e-10,-1.03315e-09,1659254880.2026532,1659254880.665366,1659254881.128092,1659254881.593348,1659254882.0560985,1659254882.5189464,1659254882.981265,1659254883.4458404,1659254883.9136732,1659254884.3770454,1659254884.8398666,1659254885.3029811
0.2,-0.35335,-0.00104,1.42533e+00,1.43275e+00,1.64673e+00,1.64670e+00,1.64662e+00,1.64662e+00,1.64665e+00,1.64664e+00,1.64656e+00,1.64683e+00,1.64677e+00,1.64670e+00,3.68963e-06,3.56585e-06,-1.41064e-09,-8.64267e-10,5.06639e-10,5.16574e-10,9.93411e-12,1.19209e-10,1.45038e-09,-2.93056e-09,-1.99676e-09,-7.54992e-10,1659254887.321163,1659254887.7838333,1659254888.2468255,1659254888.709332,1659254889.1720948,1659254889.634955,1659254890.0977285,1659254890.5611691,1659254891.0239725,1659254891.4869354,1659254891.949259,1659254892.412081
0.2,-0.353139,-0.00104,1.42572e+00,1.43292e+00,1.64697e+00,1.64689e+00,1.64692e+00,1.64681e+00,1.64678e+00,1.64683e+00,1.64693e+00,1.64692e+00,1.64678e+00,1.64691e+00,3.68657e-06,3.56652e-06,-1.84774e-09,-4.27167e-10,-9.33806e-10,9.13938e-10,1.37091e-09,4.37101e-10,-1.14242e-09,-9.53674e-10,1.34110e-09,-7.45058e-10,1659254894.4469516,1659254894.909277,1659254895.3721478,1659254895.834994,1659254896.2972255,1659254896.7639356,1659254897.2289155,1659254897.6916943,1659254898.1544313,1659254898.617111,1659254899.0800512,1659254899.5427716
0.2,-0.352475,-0.00104,1.42611e+00,1.43381e+00,1.64756e+00,1.64749e+00,1.64756e+00,1.64746e+00,1.64754e+00,1.64751e+00,1.64738e+00,1.64760e+00,1.64769e+00,1.64754e+00,3.69110e-06,3.56284e-06,-6.45717e-10,6.65585e-10,-6.55651e-10,1.16229e-09,-2.28484e-10,1.88748e-10,2.49346e-09,-1.26163e-09,-2.82129e-09,-2.28484e-10,1659254901.5639284,1659254902.0268147,1659254902.4891148,1659254902.9519224,1659254903.4147751,1659254903.8772352,1659254904.339947,1659254904.8028498,1659254905.2653012,1659254905.7279153,1659254906.190749,1659254906.653179
0.2,-0.352372,-0.00104,1.42637e+00,1.43401e+00,1.64763e+00,1.64761e+00,1.64765e+00,1.64755e+00,1.64759e+00,1.64765e+00,1.64764e+00,1.64764e+00,1.64760e+00,1.64759e+00,3.68861e-06,3.56127e-06,-6.95388e-11,2.68221e-10,-4.17233e-10,1.29143e-09,5.86112e-10,-3.77496e-10,-2.38419e-10,-1.29143e-10,4.96705e-10,6.15915e-10,1659254908.673722,1659254909.1370506,1659254909.599866,1659254910.0626483,1659254910.5251892,1659254910.9880898,1659254911.4504812,1659254911.9131424,1659254912.3759682,1659254912.838767,1659254913.3018768,1659254913.765664
0.2,-0.35271,-0.00104,1.42605e+00,1.43328e+00,1.64729e+00,1.64733e+00,1.64731e+00,1.64729e+00,1.64718e+00,1.64728e+00,1.64727e+00,1.64735e+00,1.64731e+00,1.64733e+00,3.68824e-06,3.56768e-06,5.96046e-11,-7.25190e-10,-3.47694e-10,2.98023e-11,1.90735e-09,2.18550e-10,2.68221e-10,-1.00334e-09,-3.77496e-10,-5.96046e-10,1659254915.7836509,1659254916.2491682,1659254916.7121363,1659254917.174954,1659254917.6371582,1659254918.0999382,1659254918.5628622,1659254919.0251577,1659254919.4880471,1659254919.9507465,1659254920.4133584,1659254920.876148
0.2,-0.352591,-0.00104,1.42599e+00,1.43358e+00,1.64746e+00,1.64737e+00,1.64749e+00,1.64744e+00,1.64734e+00,1.64740e+00,1.64735e+00,1.64745e+00,1.64743e+00,1.64745e+00,3.69128e-06,3.56466e-06,-9.13938e-10,6.25849e-10,-1.33117e-09,-4.76837e-10,1.10269e-09,2.28484e-10,1.02321e-09,-6.35783e-10,-3.17891e-10,-7.05322e-10,1659254922.8847623,1659254923.3474014,1659254923.8101583,1659254924.2743514,1659254924.7370396,1659254925.1997797,1659254925.6627362,1659254926.1251004,1659254926.588051,1659254927.0527582,1659254927.5155265,1659254927.980968
0.2,-0.35281,-0.00104,1.42595e+00,1.43330e+00,1.64717e+00,1.64709e+00,1.64728e+00,1.64720e+00,1.64714e+00,1.64711e+00,1.64721e+00,1.64717e+00,1.64717e+00,1.64715e+00,3.68818e-06,3.56572e-06,3.17891e-10,1.69873e-09,-1.57952e-09,-1.49012e-10,8.84136e-10,1.31130e-09,-2.78155e-10,2.98023e-10,2.78155e-10,6.85453e-10,1659254929.989848,1659254930.453229,1659254930.9160652,1659254931.378777,1659254931.8414187,1659254932.3047376,1659254932.7674344,1659254933.2308462,1659254933.693592,1659254934.1577756,1659254934.621208,1659254935.08415
0.2,-0.352433,-0.00104,1.42637e+00,1.43358e+00,1.64761e+00,1.64764e+00,1.64757e+00,1.64751e+00,1.64750e+00,1.64760e+00,1.64761e+00,1.64765e+00,1.64746e+00,1.64753e+00,3.68757e-06,3.56742e-06,-6.45717e-10,-1.28150e-09,-9.93411e-11,8.74201e-10,1.19209e-09,-5.16574e-10,-7.25190e-10,-1.40071e-09,1.72853e-09,6.75519e-10,1659254937.0918303,1659254937.5547326,1659254938.017425,1659254938.4808264,1659254938.9433885,1659254939.4064445,1659254939.8691506,1659254940.3319576,1659254940.79477,1659254941.2599866,1659254941.7227638,1659254942.185396
0.30000000000000004,-0.252031,0.00137,1.50966e+00,1.51808e+00,1.74805e+00,1.74800e+00,1.74801e+00,1.74791e+00,1.74797e+00,1.74796e+00,1.74802e+00,1.74795e+00,1.74800e+00,1.74805e+00,3.97282e-06,3.83238e-06,-1.39078e-09,-5.16574e-10,-6.95388e-10,9.63608e-10,0.00000e+00,1.58946e-10,-8.44399e-10,2.58287e-10,-4.86771e-10,-1.37091e-09,1659254952.268724,1659254952.7316825,1659254953.1945217,1659254953.6570098,1659254954.1197639,1659254954.582596,1659254955.0450146,1659254955.507892,1659254955.9707866,1659254956.4332001,1659254956.896096,1659254957.358909
0.30000000000000004,-0.251801,0.00137,1.50995e+00,1.51834e+00,1.74826e+00,1.74824e+00,1.74821e+00,1.74809e+00,1.74814e+00,1.74814e+00,1.74821e+00,1.74820e+00,1.74821e+00,1.74819e+00,3.97176e-06,3.83194e-06,-1.06295e-09,-7.64926e-10,-1.29143e-10,1.75834e-09,9.73543e-10,1.00334e-09,-1.88748e-10,5.96046e-11,-2.58287e-10,1.58946e-10,1659254959.3862119,1659254959.849297,1659254960.3121178,1659254960.7748656,1659254961.2373343,1659254961.7000854,1659254962.1628664,1659254962.6251953,1659254963.0879557,1659254963.5508242,1659254964.013154,1659254964.4758332
0.30000000000000004,-0.25238,0.00137,1.50952e+00,1.51785e+00,1.74758e+00,1.74753e+00,1.74766e+00,1.74772e+00,1.74764e+00,1.74767e+00,1.74758e+00,1.74766e+00,1.74761e+00,1.74762e+00,3.96928e-06,3.83046e-06,6.75519e-10,1.44045e-09,-6.75519e-10,-1.63913e-09,-2.88089e-10,-8.34465e-10,6.65585e-10,-7.45058e-10,9.93411e-11,3.97364e-11,1659254966.496727,1659254966.9607909,1659254967.4258912,1659254967.889402,1659254968.3526528,1659254968.8152478,1659254969.2775998,1659254969.7405312,1659254970.2032187,1659254970.665272,1659254971.1273108,1659254971.5894141
0.30000000000000004,-0.252719,0.00137,1.50907e+00,1.51736e+00,1.74727e+00,1.74733e+00,1.74727e+00,1.74725e+00,1.74727e+00,1.74721e+00,1.74723e+00,1.74729e+00,1.74740e+00,1.74738e+00,3.97117e-06,3.83299e-06,1.39078e-10,-8.44399e-10,2.28484e-10,5.56310e-10,2.48353e-10,1.11262e-09,8.14597e-10,-1.88748e-10,-1.90735e-09,-1.68880e-09,1659254973.6041427,1659254974.067157,1659254974.5297294,1659254974.9933355,1659254975.4563646,1659254975.9210074,1659254976.3837383,1659254976.847083,1659254977.3093882,1659254977.772824,1659254978.2356796,1659254978.6985052
0.30000000000000004,-0.252363,0.00137,1.50943e+00,1.51769e+00,1.74771e+00,1.74761e+00,1.74762e+00,1.74757e+00,1.74765e+00,1.74759e+00,1.74759e+00,1.74766e+00,1.74770e+00,1.74774e+00,3.97117e-06,3.83336e-06,-1.14242e-09,4.17233e-10,2.78155e-10,1.05302e-09,-1.58946e-10,7.35124e-10,7.84794e-10,-3.57628e-10,-1.01328e-09,-1.76827e-09,1659254980.719964,1659254981.1828065,1659254981.645103,1659254982.1078439,1659254982.5706334,1659254983.03312,1659254983.4969656,1659254983.9596932,1659254984.422557,1659254984.8851607,1659254985.3478835,1659254985.8095737
0.30000000000000004,-0.252261,0.00137,1.50962e+00,1.51778e+00,1.74771e+00,1.74779e+00,1.74780e+00,1.74768e+00,1.74770e+00,1.74780e+00,1.74767e+00,1.74770e+00,1.74785e+00,1.74770e+00,3.96962e-06,3.83369e-06,5.26508e-10,-8.14597e-10,-1.09275e-09,9.43740e-10,6.15915e-10,-9.93411e-10,1.21196e-09,6.05981e-10,-1.82788e-09,6.35783e-10,1659254987.8248644,1659254988.2877011,1659254988.750752,1659254989.213167,1659254989.6758566,1659254990.1387148,1659254990.6012201,1659254991.0639124,1659254991.5266848,1659254991.9892244,1659254992.455884,1659254992.9186618
0.30000000000000004,-0.252818,0.00137,1.50904e+00,1.51724e+00,1.74718e+00,1.74718e+00,1.74712e+00,1.74725e+00,1.74719e+00,1.74726e+00,1.74711e+00,1.74717e+00,1.74733e+00,1.74720e+00,3.97002e-06,3.83329e-06,0.00000e+00,4.96705e-11,1.07288e-09,-1.14242e-09,-1.09275e-10,-1.31130e-09,1.13249e-09,2.68221e-10,-2.38419e-09,-2.48353e-10,1659254994.9402013,1659254995.4029374,1659254995.8651474,1659254996.3289568,1659254996.7917032,1659254997.2533224,1659254997.7167277,1659254998.1793385,1659254998.6415286,1659254999.1049876,1659254999.567735,1659255000.030415
0.30000000000000004,-0.252196,0.00137,1.50932e+00,1.51766e+00,1.74790e+00,1.74785e+00,1.74778e+00,1.74778e+00,1.74785e+00,1.74781e+00,1.74773e+00,1.74778e+00,1.74778e+00,1.74782e+00,3.97572e-06,3.83665e-06,-1.59939e-09,-8.04663e-10,4.47035e-10,4.07298e-10,-8.14597e-10,-6.95388e-11,1.21196e-09,4.37101e-10,3.67562e-10,-2.48353e-10,1659255002.050612,1659255002.5131593,1659255002.9759924,1659255003.438743,1659255003.9014893,1659255004.3648367,1659255004.8281033,1659255005.2906408,1659255005.7532606,1659255006.216588,1659255006.6794813,1659255007.141674
0.30000000000000004,-0.252876,0.00137,1.50888e+00,1.51722e+00,1.74712e+00,1.74716e+00,1.74710e+00,1.74710e+00,1.74706e+00,1.74704e+00,1.74713e+00,1.74720e+00,1.74714e+00,1.74710e+00,3.97174e-06,3.83274e-06,3.97364e-11,-6.45717e-10,3.87430e-10,3.27826e-10,1.14242e-09,1.46031e-09,-1.68880e-10,-1.25170e-09,-1.98682e-10,4.07298e-10,1659255009.1697187,1659255009.6331787,1659255010.0961628,1659255010.559032,1659255011.0213935,1659255011.4842389,1659255011.9489043,1659255012.411736,1659255012.8746443,1659255013.3374038,1659255013.8008816,1659255014.2654836
