Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659383337.1867886, 45.0, 60.0, 0.1, 5, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_3 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_1 (A),IsCH_3 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A),TsCH_1 (s),TsCH_3 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s),TsCH_12 (s),TsCH_14 (s),TsCH_15 (s),TsCH_16 (s)
45.4,45.1063,0.00020,4.56343e+01,4.56664e+01,4.71062e+01,4.71063e+01,4.71063e+01,4.71062e+01,4.71062e+01,4.71061e+01,4.71064e+01,4.71063e+01,4.71062e+01,4.71063e+01,2.45401e-05,2.40036e-05,2.24511e-09,8.14597e-10,-8.04663e-10,2.04643e-09,2.07623e-09,3.55641e-09,-1.50005e-09,-5.26508e-10,2.04643e-09,5.46376e-10,1659383520.6899588,1659383521.1522448,1659383521.6148417,1659383522.077485,1659383522.5399306,1659383523.0026615,1659383523.4658232,1659383523.9283187,1659383524.3909435,1659383524.8534987,1659383525.3159022,1659383525.7796142
45.4,45.1067,0.00020,4.56346e+01,4.56668e+01,4.71067e+01,4.71067e+01,4.71066e+01,4.71068e+01,4.71066e+01,4.71066e+01,4.71066e+01,4.71068e+01,4.71068e+01,4.71066e+01,2.45406e-05,2.40041e-05,7.54992e-10,-9.93411e-11,1.98682e-09,-9.43740e-10,1.19209e-09,2.04643e-09,1.21196e-09,-9.33806e-10,-1.30137e-09,9.93411e-10,1659383527.8122776,1659383528.274856,1659383528.7377353,1659383529.2029312,1659383529.6655493,1659383530.1281223,1659383530.5907981,1659383531.0534654,1659383531.5159707,1659383531.978537,1659383532.441153,1659383532.9027255
45.4,45.1078,0.00020,4.56357e+01,4.56679e+01,4.71077e+01,4.71078e+01,4.71077e+01,4.71078e+01,4.71078e+01,4.71077e+01,4.71076e+01,4.71077e+01,4.71077e+01,4.71079e+01,2.45420e-05,2.40041e-05,1.94709e-09,5.26508e-10,1.37091e-09,1.58946e-10,-4.56969e-10,1.12255e-09,2.74181e-09,1.15236e-09,2.04643e-09,-2.01662e-09,1659383534.9380374,1659383535.4002411,1659383535.8628156,1659383536.325397,1659383536.7888803,1659383537.2519417,1659383537.7145154,1659383538.1768224,1659383538.6395278,1659383539.1036296,1659383539.566181,1659383540.028195
45.4,45.1063,0.00020,4.56341e+01,4.56666e+01,4.71062e+01,4.71062e+01,4.71062e+01,4.71066e+01,4.71063e+01,4.71063e+01,4.71062e+01,4.71062e+01,4.71062e+01,4.71063e+01,2.45428e-05,2.40018e-05,1.00334e-09,1.42058e-09,1.66893e-09,-4.52002e-09,7.84794e-10,-2.18550e-10,2.13583e-09,1.50998e-09,1.09275e-09,-1.29143e-10,1659383542.0697038,1659383542.5319324,1659383542.9957237,1659383543.4582512,1659383543.9203448,1659383544.3828523,1659383544.8453064,1659383545.3082283,1659383545.7709334,1659383546.2334025,1659383546.6966426,1659383547.1617074
45.4,45.1061,0.00020,4.56339e+01,4.56665e+01,4.71060e+01,4.71060e+01,4.71062e+01,4.71062e+01,4.71061e+01,4.71061e+01,4.71060e+01,4.71060e+01,4.71061e+01,4.71063e+01,2.45423e-05,2.40002e-05,1.99676e-09,1.41064e-09,-1.84774e-09,-1.23183e-09,-6.95388e-11,6.55651e-10,2.22524e-09,1.33117e-09,-5.46376e-10,-2.92063e-09,1659383549.2038743,1659383549.6663764,1659383550.1287513,1659383550.5917273,1659383551.0551877,1659383551.5176861,1659383551.9799614,1659383552.4469314,1659383552.9095535,1659383553.371951,1659383553.8344555,1659383554.297254
45.5,45.2072,0.00090,4.57354e+01,4.57679e+01,4.72073e+01,4.72073e+01,4.72072e+01,4.72072e+01,4.72070e+01,4.72072e+01,4.72073e+01,4.72071e+01,4.72071e+01,4.72073e+01,2.45366e-05,2.39946e-05,-1.14242e-09,-9.43740e-10,-1.88748e-10,-7.25190e-10,2.78155e-09,-6.95388e-11,-1.05302e-09,1.91728e-09,1.59939e-09,-1.27157e-09,1659383564.4107416,1659383564.8734057,1659383565.3365326,1659383565.7999458,1659383566.2626426,1659383566.7251034,1659383567.190965,1659383567.6540937,1659383568.1164513,1659383568.5789773,1659383569.0414546,1659383569.5049229
45.5,45.2078,0.00090,4.57360e+01,4.57684e+01,4.72079e+01,4.72078e+01,4.72079e+01,4.72077e+01,4.72079e+01,4.72078e+01,4.72079e+01,4.72078e+01,4.72076e+01,4.72076e+01,2.45363e-05,2.39961e-05,-2.04643e-09,-6.35783e-10,-8.74201e-10,1.01328e-09,-2.28484e-09,3.47694e-10,-1.23183e-09,-7.64926e-10,3.93391e-09,2.56300e-09,1659383571.5416718,1659383572.004035,1659383572.4687862,1659383572.9314835,1659383573.3940325,1659383573.8561556,1659383574.3210669,1659383574.7826936,1659383575.2452424,1659383575.707963,1659383576.1702988,1659383576.6323864
45.5,45.2078,0.00090,4.57361e+01,4.57686e+01,4.72079e+01,4.72078e+01,4.72077e+01,4.72076e+01,4.72078e+01,4.72078e+01,4.72078e+01,4.72078e+01,4.72079e+01,4.72079e+01,2.45351e-05,2.39925e-05,-2.49346e-09,-8.04663e-10,2.32458e-09,2.54313e-09,-2.88089e-10,8.24531e-10,-6.85453e-10,-7.74860e-10,-1.59939e-09,-1.67886e-09,1659383578.6601071,1659383579.1226106,1659383579.5852036,1659383580.052147,1659383580.5146327,1659383580.977184,1659383581.4401944,1659383581.903913,1659383582.3677354,1659383582.830298,1659383583.291698,1659383583.7543316
45.5,45.2067,0.00090,4.57349e+01,4.57674e+01,4.72067e+01,4.72068e+01,4.72068e+01,4.72067e+01,4.72065e+01,4.72067e+01,4.72067e+01,4.72067e+01,4.72067e+01,4.72065e+01,2.45370e-05,2.39941e-05,3.27826e-10,-1.57952e-09,-1.91728e-09,6.05981e-10,3.39746e-09,4.76837e-10,-5.16574e-10,1.78814e-10,7.84794e-10,2.87096e-09,1659383585.77566,1659383586.238139,1659383586.7002182,1659383587.1630363,1659383587.6256104,1659383588.0880315,1659383588.5505164,1659383589.0132425,1659383589.4759486,1659383589.9385118,1659383590.4009373,1659383590.864105
45.5,45.2074,0.00090,4.57356e+01,4.57682e+01,4.72074e+01,4.72075e+01,4.72075e+01,4.72073e+01,4.72073e+01,4.72074e+01,4.72076e+01,4.72076e+01,4.72074e+01,4.72073e+01,2.45365e-05,2.39919e-05,-5.36442e-10,-1.77821e-09,-9.53674e-10,2.01662e-09,1.02321e-09,7.64926e-10,-2.60274e-09,-2.62260e-09,-5.36442e-10,1.73847e-09,1659383592.9046507,1659383593.3721778,1659383593.8363774,1659383594.2988732,1659383594.7615643,1659383595.2239256,1659383595.6866546,1659383596.150951,1659383596.613413,1659383597.0770798,1659383597.543019,1659383598.0057242
